"sample","variable","dist","condition","main","mean","rep","true_dist","scaled_dist","b","prct_reads","exp_coverage","est_coverage_n1","est_coverage_n2"
"n1","n2",0.0100268028154987,"subsample_no_strap",0.0099988161471129,0.0099981615570652,80,0.01,0.997326883155881,0.75,0.0158113883008418,0.25298221281347,0.238182162008217,0.245939648369942
"n1","n2",0.0100342722928928,"subsample_no_strap",0.0099988161471129,0.0099981615570652,82,0.01,0.996584476492913,0.75,0.0158113883008418,0.25298221281347,0.260413809233137,0.264267895050307
"n1","n2",0.0099817104065643,"subsample_no_strap",0.0099988161471129,0.0099981615570652,83,0.01,1.00183231056509,0.75,0.0158113883008418,0.25298221281347,0.249414654127545,0.262672208657335
"n1","n2",0.0099674997529627,"subsample_no_strap",0.0099988161471129,0.0099981615570652,84,0.01,1.00326062180514,0.75,0.0158113883008418,0.25298221281347,0.268828196950369,0.255999670715198
"n1","n2",0.0099830987481852,"subsample_no_strap",0.0099988161471129,0.0099981615570652,85,0.01,1.00169298654066,0.75,0.0158113883008418,0.25298221281347,0.237390595161501,0.25313536502076
"n1","n2",0.009978747960942,"subsample_no_strap",0.0099988161471129,0.0099981615570652,86,0.01,1.00212973001635,0.75,0.0158113883008418,0.25298221281347,0.266934147762862,0.244438607948525
"n1","n2",0.010029449863643,"subsample_no_strap",0.0099988161471129,0.0099981615570652,88,0.01,0.997063661113676,0.75,0.0158113883008418,0.25298221281347,0.240651913706828,0.259910055848096
"n1","n2",0.0100062312254257,"subsample_no_strap",0.0099988161471129,0.0099981615570652,89,0.01,0.999377265497331,0.75,0.0158113883008418,0.25298221281347,0.256142542104901,0.267740328426044
"n1","n2",0.0099905020733751,"subsample_no_strap",0.0099988161471129,0.0099981615570652,9,0.01,1.00095069562621,0.75,0.0158113883008418,0.25298221281347,0.249300107502564,0.249724316304564
"n1","n2",0.0099819071762375,"subsample_no_strap",0.0099988161471129,0.0099981615570652,90,0.01,1.00181256181239,0.75,0.0158113883008418,0.25298221281347,0.268145725014277,0.254045198546156
"n1","n2",0.0099818484082709,"subsample_no_strap",0.0099988161471129,0.0099981615570652,91,0.01,1.00181845996719,0.75,0.0158113883008418,0.25298221281347,0.271469886691065,0.281668716387394
"n1","n2",0.0099988258222512,"subsample_no_strap",0.0099988161471129,0.0099981615570652,92,0.01,1.00011743156343,0.75,0.0158113883008418,0.25298221281347,0.246042948285565,0.237193071019168
"n1","n2",0.009989169439383,"subsample_no_strap",0.0099988161471129,0.0099981615570652,93,0.01,1.00108423034394,0.75,0.0158113883008418,0.25298221281347,0.267956020765351,0.25910127885824
"n1","n2",0.0099422527239358,"subsample_no_strap",0.0099988161471129,0.0099981615570652,94,0.01,1.00580826877646,0.75,0.0158113883008418,0.25298221281347,0.259625701053433,0.265716679976044
"n1","n2",0.0099836942163942,"subsample_no_strap",0.0099988161471129,0.0099981615570652,95,0.01,1.0016332414888,0.75,0.0158113883008418,0.25298221281347,0.263547512549267,0.257024402357682
"n1","n2",0.0099704990946984,"subsample_no_strap",0.0099988161471129,0.0099981615570652,96,0.01,1.002958819315,0.75,0.0158113883008418,0.25298221281347,0.242912873553133,0.251248566683267
"n1","n2",0.0099924394358214,"subsample_no_strap",0.0099988161471129,0.0099981615570652,97,0.01,1.00075662847167,0.75,0.0158113883008418,0.25298221281347,0.274873167505217,0.267718842661925
"n1","n2",0.0100233692271391,"subsample_no_strap",0.0099988161471129,0.0099981615570652,98,0.01,0.997668525761188,0.75,0.0158113883008418,0.25298221281347,0.2629697719671,0.242660730631734
"n1","n2",0.0100212667331814,"subsample_no_strap",0.0099988161471129,0.0099981615570652,99,0.01,0.997877839823281,0.75,0.0158113883008418,0.25298221281347,0.242909754658303,0.258810684726372
"n1","n2",0.0100063944136585,"subsample_mean_mean",0.0099988161471129,0.0099981615570652,0,0.01,0.999360967258115,0.75,0.0158113883008418,0.25298221281347,0.252487655858319,0.276384207444869
"n1","n2",0.0099918705458296,"subsample_mean_mean",0.0099988161471129,0.0099981615570652,1,0.01,1.00081360683499,0.75,0.0158113883008418,0.25298221281347,0.259536760026611,0.269574714266716
"n1","n2",0.0100274195821323,"subsample_mean_mean",0.0099988161471129,0.0099981615570652,10,0.01,0.997265539563019,0.75,0.0158113883008418,0.25298221281347,0.25368097187721,0.273547834733577
"n1","n2",0.0100124052399211,"subsample_mean_mean",0.0099988161471129,0.0099981615570652,11,0.01,0.998761013000982,0.75,0.0158113883008418,0.25298221281347,0.243229613033995,0.239028653333285
"n1","n2",0.0099725592291911,"subsample_mean_mean",0.0099988161471129,0.0099981615570652,12,0.01,1.00275162775955,0.75,0.0158113883008418,0.25298221281347,0.269385739636245,0.26188893252692
"n1","n2",0.0100085659839902,"subsample_mean_mean",0.0099988161471129,0.0099981615570652,13,0.01,0.999144134733796,0.75,0.0158113883008418,0.25298221281347,0.238182162008217,0.270536973396842
"n1","n2",0.0099823966475782,"subsample_mean_mean",0.0099988161471129,0.0099981615570652,14,0.01,1.00176343948685,0.75,0.0158113883008418,0.25298221281347,0.254958582756464,0.250333426597032
"n1","n2",0.0099949035812385,"subsample_mean_mean",0.0099988161471129,0.0099981615570652,15,0.01,1.00050990174343,0.75,0.0158113883008418,0.25298221281347,0.245438293918789,0.253141465691511
"n1","n2",0.0100021824337929,"subsample_mean_mean",0.0099988161471129,0.0099981615570652,16,0.01,0.999781804240482,0.75,0.0158113883008418,0.25298221281347,0.24815139392696,0.251594039900692
"n1","n2",0.0100104489398124,"subsample_mean_mean",0.0099988161471129,0.0099981615570652,17,0.01,0.998956196682558,0.75,0.0158113883008418,0.25298221281347,0.263203408013491,0.257456036768739
"n1","n2",0.0099952056941454,"subsample_mean_mean",0.0099988161471129,0.0099981615570652,18,0.01,1.0004796605494,0.75,0.0158113883008418,0.25298221281347,0.247910471153993,0.266068016198221
"n1","n2",0.0099884614173114,"subsample_mean_mean",0.0099988161471129,0.0099981615570652,19,0.01,1.00115519119577,0.75,0.0158113883008418,0.25298221281347,0.260204085967635,0.244982030078915
"n1","n2",0.0100105551498584,"subsample_mean_mean",0.0099988161471129,0.0099981615570652,2,0.01,0.998945597951323,0.75,0.0158113883008418,0.25298221281347,0.270200823963952,0.266655513919665
"n1","n2",0.0100333221400571,"subsample_mean_mean",0.0099988161471129,0.0099981615570652,20,0.01,0.996678852767611,0.75,0.0158113883008418,0.25298221281347,0.260820956586097,0.264304239043071
"n1","n2",0.0100215890447562,"subsample_mean_mean",0.0099988161471129,0.0099981615570652,21,0.01,0.997845746352215,0.75,0.0158113883008418,0.25298221281347,0.274532985500452,0.24020360551366
"n1","n2",0.0099802864915001,"subsample_mean_mean",0.0099988161471129,0.0099981615570652,22,0.01,1.0019752447504,0.75,0.0158113883008418,0.25298221281347,0.25215096138977,0.265316155107943
"n1","n2",0.0100052930703262,"subsample_mean_mean",0.0099988161471129,0.0099981615570652,23,0.01,0.999470972985091,0.75,0.0158113883008418,0.25298221281347,0.245442255120598,0.264747031019186
"n1","n2",0.0099860582856046,"subsample_mean_mean",0.0099988161471129,0.0099981615570652,24,0.01,1.0013961178672,0.75,0.0158113883008418,0.25298221281347,0.253808171508437,0.258146782543613
"n1","n2",0.0100008357251168,"subsample_mean_mean",0.0099988161471129,0.0099981615570652,25,0.01,0.999916434472094,0.75,0.0158113883008418,0.25298221281347,0.270537144822373,0.240296767728311
"n1","n2",0.0099765733224556,"subsample_mean_mean",0.0099988161471129,0.0099981615570652,26,0.01,1.0023481687336,0.75,0.0158113883008418,0.25298221281347,0.256793225952088,0.252456370047541
"n1","n2",0.0100208463916184,"subsample_mean_mean",0.0099988161471129,0.0099981615570652,27,0.01,0.997919697518181,0.75,0.0158113883008418,0.25298221281347,0.269786136523319,0.242957881896559
"n1","n2",0.010030589578073,"subsample_mean_mean",0.0099988161471129,0.0099981615570652,28,0.01,0.996950370879501,0.75,0.0158113883008418,0.25298221281347,0.260346797806799,0.261000328846106
"n1","n2",0.0099970120523759,"subsample_mean_mean",0.0099988161471129,0.0099981615570652,29,0.01,1.0002988840674,0.75,0.0158113883008418,0.25298221281347,0.260143890638888,0.250996463414586
"n1","n2",0.009948604426031,"subsample_mean_mean",0.0099988161471129,0.0099981615570652,3,0.01,1.00516610891016,0.75,0.0158113883008418,0.25298221281347,0.257541273753869,0.266899214410928
"n1","n2",0.0099999043525845,"subsample_mean_mean",0.0099988161471129,0.0099981615570652,30,0.01,1.00000956483303,0.75,0.0158113883008418,0.25298221281347,0.276935476267212,0.253239409855157
"n1","n2",0.0100185169622207,"subsample_mean_mean",0.0099988161471129,0.0099981615570652,31,0.01,0.9981517262195,0.75,0.0158113883008418,0.25298221281347,0.268984882338027,0.255033812494052
"n1","n2",0.0099722053207315,"subsample_mean_mean",0.0099988161471129,0.0099981615570652,32,0.01,1.00278721490127,0.75,0.0158113883008418,0.25298221281347,0.248997521429095,0.253834090859689
"n1","n2",0.0100034943594607,"subsample_mean_mean",0.0099988161471129,0.0099981615570652,33,0.01,0.999650686116755,0.75,0.0158113883008418,0.25298221281347,0.241336864119541,0.246716230659584
"n1","n2",0.0100032105319981,"subsample_mean_mean",0.0099988161471129,0.0099981615570652,34,0.01,0.999679049842259,0.75,0.0158113883008418,0.25298221281347,0.249624238904017,0.267605113430487
