sample,variable,dist,condition,true_dist,scaled_dist
n1,n2,0.0009464726528011435,subsample_no_strap,0.001,1.0565545629241784
n1,n2,0.0010096678457813752,subsample_no_strap,0.001,0.99042472648627
n1,n2,0.0010156776246606554,subsample_no_strap,0.001,0.9845643693628741
n1,n2,0.0009095332648838924,subsample_no_strap,0.001,1.0994650098121
n1,n2,0.000982845127662009,subsample_no_strap,0.001,1.017454298602262
n1,n2,0.000980339843671888,subsample_no_strap,0.001,1.0200544295480989
n1,n2,0.0011449363841879653,subsample_no_strap,0.001,0.8734109718325005
n1,n2,0.0009371357667067037,subsample_no_strap,0.001,1.0670812442835416
n1,n2,0.0010338930524128992,subsample_no_strap,0.001,0.967218028659928
n1,n2,0.0010065732541028316,subsample_no_strap,0.001,0.9934696714063892
n1,n2,0.0009326280635865547,subsample_no_strap,0.001,1.072238804560906
n1,n2,0.001006596103023699,subsample_no_strap,0.001,0.993447120444948
n1,n2,0.0009863633818606985,subsample_no_strap,0.001,1.0138251463812225
n1,n2,0.0010375313829854905,subsample_no_strap,0.001,0.9638262672330024
n1,n2,0.000977578711179096,subsample_no_strap,0.001,1.0229355330312593
n1,n2,0.0008996562521423991,subsample_no_strap,0.001,1.1115356533327558
n1,n2,0.0010576046083383673,subsample_no_strap,0.001,0.9455329450304952
n1,n2,0.0010414869095620814,subsample_no_strap,0.001,0.9601656927406552
n1,n2,0.000979036730078748,subsample_no_strap,0.001,1.0214121383572257
n1,n2,0.0009761634245642822,subsample_no_strap,0.001,1.0244186319994086
n1,n2,0.0009505743167675496,subsample_no_strap,0.001,1.0519956013544778
n1,n2,0.0009949354520213392,subsample_no_strap,0.001,1.0050903281900063
n1,n2,0.0009516950843447957,subsample_no_strap,0.001,1.0507567144664411
n1,n2,0.0009572996801948188,subsample_no_strap,0.001,1.0446049661235566
n1,n2,0.0009264701555570707,subsample_no_strap,0.001,1.0793655834479818
n1,n2,0.001018360928625643,subsample_no_strap,0.001,0.9819701167734092
n1,n2,0.0010289419647463154,subsample_no_strap,0.001,0.9718721116079166
n1,n2,0.0009872384330935227,subsample_no_strap,0.001,1.0129265296798553
n1,n2,0.0009017640107815932,subsample_no_strap,0.001,1.108937580169408
n1,n2,0.0009937797018705241,subsample_no_strap,0.001,1.0062592324211974
n1,n2,0.0010136397867654592,subsample_no_strap,0.001,0.9865437535665564
n1,n2,0.0010038189795022537,subsample_no_strap,0.001,0.9961955496157812
n1,n2,0.0009728281192364805,subsample_no_strap,0.001,1.0279308134975018
n1,n2,0.0009644003494125502,subsample_no_strap,0.001,1.036913767823845
n1,n2,0.0010677331791675657,subsample_no_strap,0.001,0.9365635717901244
n1,n2,0.0009658127227501217,subsample_no_strap,0.001,1.0353974186139638
n1,n2,0.0009805323031361174,subsample_no_strap,0.001,1.0198542126573673
n1,n2,0.001047488296435373,subsample_no_strap,0.001,0.954664604275793
n1,n2,0.0010565959191747014,subsample_no_strap,0.001,0.94643560688848
n1,n2,0.0009470369067766832,subsample_no_strap,0.001,1.0559250572436307
n1,n2,0.0008825895805251383,subsample_no_strap,0.001,1.1330294647315042
n1,n2,0.0009733346558727033,subsample_no_strap,0.001,1.0273958642758778
n1,n2,0.00104661462522949,subsample_no_strap,0.001,0.9554615193541092
n1,n2,0.0010223732469730855,subsample_no_strap,0.001,0.9781163610850288
n1,n2,0.001013252874280847,subsample_no_strap,0.001,0.9869204671240108
n1,n2,0.0010542828521421608,subsample_no_strap,0.001,0.9485120600872288
n1,n2,0.00091947447558932,subsample_no_strap,0.001,1.0875777702900005
n1,n2,0.0009058694040201444,subsample_no_strap,0.001,1.1039118835034218
n1,n2,0.0009633946951705916,subsample_no_strap,0.001,1.0379961660707782
n1,n2,0.001044771573126984,subsample_no_strap,0.001,0.9571470221064844
n1,n2,0.001008795178187109,subsample_no_strap,0.001,0.9912815025514746
n1,n2,0.0010722217377102528,subsample_no_strap,0.001,0.9326429084859968
n1,n2,0.0010285812692072142,subsample_no_strap,0.001,0.972212920784331
n1,n2,0.0009340767849204027,subsample_no_strap,0.001,1.070575798632245
n1,n2,0.000899247634912018,subsample_no_strap,0.001,1.1120407340274403
n1,n2,0.0009455714258594902,subsample_no_strap,0.001,1.0575615682242472
n1,n2,0.0010596698356253726,subsample_no_strap,0.001,0.9436901630872996
n1,n2,0.0011351483052716635,subsample_no_strap,0.001,0.880942160029636
n1,n2,0.0010498025071222503,subsample_no_strap,0.001,0.9525601179418304
n1,n2,0.0009926422748823382,subsample_no_strap,0.001,1.0074122625076931
n1,n2,0.0009838899559577172,subsample_no_strap,0.001,1.0163738271182994
n1,n2,0.0009961036419503628,subsample_no_strap,0.001,1.003911599040044
n1,n2,0.0009842268994207082,subsample_no_strap,0.001,1.0160258783707043
n1,n2,0.001000729112806413,subsample_no_strap,0.001,0.9992714184117536
n1,n2,0.001006877294290117,subsample_no_strap,0.001,0.9931696798317756
n1,n2,0.0009420692812176648,subsample_no_strap,0.001,1.061493055699107
n1,n2,0.0010593682888589456,subsample_no_strap,0.001,0.9439587823391508
n1,n2,0.0010467997539024226,subsample_no_strap,0.001,0.955292544034372
n1,n2,0.0010443554854670338,subsample_no_strap,0.001,0.9575283645422726
n1,n2,0.0010417022875787675,subsample_no_strap,0.001,0.9599671728899659
n1,n2,0.0009699800722912645,subsample_mean_mean,0.001,1.0309490148986495
n1,n2,0.0010358621818388695,subsample_mean_mean,0.001,0.9653793888148259
n1,n2,0.0010056054888944628,subsample_mean_mean,0.001,0.9944257574601892
n1,n2,0.0010888361934839118,subsample_mean_mean,0.001,0.9184117923195908
n1,n2,0.0010749019581235046,subsample_mean_mean,0.001,0.9303174047107852
n1,n2,0.0010125273076006358,subsample_mean_mean,0.001,0.9876276842050596
n1,n2,0.0010516341858437218,subsample_mean_mean,0.001,0.9509010009956116
n1,n2,0.000936930170679262,subsample_mean_mean,0.001,1.0673154001167593
n1,n2,0.0009724894866095963,subsample_mean_mean,0.001,1.0282887514664183
n1,n2,0.0009650551236841787,subsample_mean_mean,0.001,1.0362102386259724
n1,n2,0.0010603203920162194,subsample_mean_mean,0.001,0.9431111648230034
n1,n2,0.0010686842831605736,subsample_mean_mean,0.001,0.9357300521371534
n1,n2,0.000987252833807547,subsample_mean_mean,0.001,1.0129117544725508
n1,n2,0.0010001748917268817,subsample_mean_mean,0.001,0.999825138854886
n1,n2,0.0010212667468581349,subsample_mean_mean,0.001,0.9791761095486944
n1,n2,0.0009708713858129557,subsample_mean_mean,0.001,1.0300025467973326
n1,n2,0.0010526027432735119,subsample_mean_mean,0.001,0.9500260249085788
n1,n2,0.001076850730711954,subsample_mean_mean,0.001,0.9286338129137502
