tr_17 0.00024876		0.00024876		4	n5	n8	8	8
tr_17 0.00040307		0.00040307		3	n6	n8	10	10
tr_17 0.00002783		0.00002783		2	n7	n8	12	12
tr_18 0.00002088		0.00002088		6	n3	n8	4	4
tr_18 0.00671842		0.00671842		5	n4	n8	6	6
tr_18 0.00018738		0.00018738		4	n5	n8	8	8
tr_18 0.00175968		0.00175968		3	n6	n8	10	10
tr_18 0.00527614		0.00527614		2	n7	n8	12	12
tr_19 0.00132508		0.00132508		6	n3	n8	4	4
tr_19 0.00586365		0.00586365		5	n4	n8	6	6
tr_19 0.06820983		0.06820983		4	n5	n8	8	8
tr_19 0.00338341		0.00338341		3	n6	n8	10	10
tr_19 0.08883909		0.08883909		2	n7	n8	12	12
tr_2 0.00055504		0.00055504		6	n3	n8	4	4
tr_2 0.00004014		0.00004014		5	n4	n8	6	6
tr_2 0.00011700		0.00011700		4	n5	n8	8	8
tr_2 0.00239224		0.00239224		3	n6	n8	10	10
tr_2 0.00012856		0.00012856		2	n7	n8	12	12
tr_20 0.00004058		0.00004058		6	n3	n8	4	4
tr_20 0.00525071		0.00525071		5	n4	n8	6	6
tr_20 0.00002374		0.00002374		4	n5	n8	8	8
tr_20 0.00609664		0.00609664		3	n6	n8	10	10
tr_20 0.01513531		0.01513531		2	n7	n8	12	12
tr_21 0.05189214		0.05189214		6	n3	n8	4	4
tr_21 0.01800468		0.01800468		5	n4	n8	6	6
tr_21 0.00141606		0.00141606		4	n5	n8	8	8
tr_21 0.01985869		0.01985869		3	n6	n8	10	10
tr_21 0.07186343		0.07186343		2	n7	n8	12	12
tr_22 0.00062508		0.00062508		6	n3	n8	4	4
tr_22 0.00040136		0.00040136		5	n4	n8	6	6
tr_22 0.00001265		0.00001265		4	n5	n8	8	8
tr_22 0.00001494		0.00001494		3	n6	n8	10	10
tr_22 0.00017233		0.00017233		2	n7	n8	12	12
tr_23 0.00038013		0.00038013		6	n3	n8	4	4
tr_23 0.00178937		0.00178937		5	n4	n8	6	6
tr_23 0.02551459		0.02551459		4	n5	n8	8	8
tr_23 0.00004634		0.00004634		3	n6	n8	10	10
tr_23 0.00285076		0.00285076		2	n7	n8	12	12
tr_24 0.00266821		0.00266821		6	n3	n8	4	4
tr_24 0.01355578		0.01355578		5	n4	n8	6	6
tr_24 0.00248974		0.00248974		4	n5	n8	8	8
tr_24 0.00006119		0.00006119		3	n6	n8	10	10
tr_24 0.00006461		0.00006461		2	n7	n8	12	12
tr_25 0.00029913		0.00029913		6	n3	n8	4	4
tr_25 0.05624046		0.05624046		5	n4	n8	6	6
tr_25 0.00388286		0.00388286		4	n5	n8	8	8
tr_25 0.00047354		0.00047354		3	n6	n8	10	10
tr_25 0.00001075		0.00001075		2	n7	n8	12	12
tr_26 0.00513858		0.00513858		6	n3	n8	4	4
tr_26 0.09203163		0.09203163		5	n4	n8	6	6
tr_26 0.00004117		0.00004117		4	n5	n8	8	8
tr_26 0.00012829		0.00012829		3	n6	n8	10	10
tr_26 0.00002922		0.00002922		2	n7	n8	12	12
tr_27 0.00423430		0.00423430		6	n3	n8	4	4
tr_27 0.09696867		0.09696867		5	n4	n8	6	6
tr_27 0.00034258		0.00034258		4	n5	n8	8	8
tr_27 0.00011867		0.00011867		3	n6	n8	10	10
tr_27 0.00012157		0.00012157		2	n7	n8	12	12
tr_28 0.00067521		0.00067521		6	n3	n8	4	4
tr_28 0.00687847		0.00687847		5	n4	n8	6	6
tr_28 0.00001861		0.00001861		4	n5	n8	8	8
tr_28 0.00104641		0.00104641		3	n6	n8	10	10
tr_28 0.00507014		0.00507014		2	n7	n8	12	12
tr_29 0.00356662		0.00356662		6	n3	n8	4	4
tr_29 0.00001501		0.00001501		5	n4	n8	6	6
tr_29 0.00023375		0.00023375		4	n5	n8	8	8
tr_29 0.00086964		0.00086964		3	n6	n8	10	10
tr_29 0.00126252		0.00126252		2	n7	n8	12	12
tr_3 0.00010651		0.00010651		6	n3	n8	4	4
