sample,variable,value_x,cond,rep_num,value_y,est_true
ucseq_ucseq_merged_SRR6426002_2,ucseq_ucseq_merged_SRR6425997_2,0.1829733864828039,main,-1.0,0.1829733864828039,1.0
ucseq_ucseq_merged_SRR6426003_2,ucseq_ucseq_merged_SRR6425997_2,0.1889109180737798,main,-1.0,0.1889109180737798,1.0
ucseq_ucseq_merged_SRR6426004_2,ucseq_ucseq_merged_SRR6425997_2,0.191627199896692,main,-1.0,0.191627199896692,1.0
ucseq_ucseq_merged_SRR6425989_2,ucseq_ucseq_merged_SRR6425998_2,0.1337027691308386,main,-1.0,0.1337027691308386,1.0
ucseq_ucseq_merged_SRR6425990_2,ucseq_ucseq_merged_SRR6425998_2,0.1546494402554966,main,-1.0,0.1546494402554966,1.0
ucseq_ucseq_merged_SRR6425991_2,ucseq_ucseq_merged_SRR6425998_2,0.1531925801837193,main,-1.0,0.1531925801837193,1.0
ucseq_ucseq_merged_SRR6425992_2,ucseq_ucseq_merged_SRR6425998_2,0.1518980781663294,main,-1.0,0.1518980781663294,1.0
ucseq_ucseq_merged_SRR6425993_2,ucseq_ucseq_merged_SRR6425998_2,0.1508904511584884,main,-1.0,0.1508904511584884,1.0
ucseq_ucseq_merged_SRR6425995_2,ucseq_ucseq_merged_SRR6425998_2,0.1482253069186688,main,-1.0,0.1482253069186688,1.0
ucseq_ucseq_merged_SRR6425997_2,ucseq_ucseq_merged_SRR6425998_2,0.1405426614690672,main,-1.0,0.1405426614690672,1.0
ucseq_ucseq_merged_SRR6425998_2,ucseq_ucseq_merged_SRR6425998_2,0.0,main,-1.0,0.0,
ucseq_ucseq_merged_SRR6425999_2,ucseq_ucseq_merged_SRR6425998_2,0.1517088508486365,main,-1.0,0.1517088508486365,1.0
ucseq_ucseq_merged_SRR6426000_2,ucseq_ucseq_merged_SRR6425998_2,0.1734945494239108,main,-1.0,0.1734945494239108,1.0
ucseq_ucseq_merged_SRR6426001_2,ucseq_ucseq_merged_SRR6425998_2,0.0155560809222316,main,-1.0,0.0155560809222316,1.0
ucseq_ucseq_merged_SRR6426002_2,ucseq_ucseq_merged_SRR6425998_2,0.1500867308393667,main,-1.0,0.1500867308393667,1.0
ucseq_ucseq_merged_SRR6426003_2,ucseq_ucseq_merged_SRR6425998_2,0.1768309152921428,main,-1.0,0.1768309152921428,1.0
ucseq_ucseq_merged_SRR6426004_2,ucseq_ucseq_merged_SRR6425998_2,0.1562940729062078,main,-1.0,0.1562940729062078,1.0
ucseq_ucseq_merged_SRR6425989_2,ucseq_ucseq_merged_SRR6425999_2,0.1301465685440054,main,-1.0,0.1301465685440054,1.0
ucseq_ucseq_merged_SRR6425990_2,ucseq_ucseq_merged_SRR6425999_2,0.065077655376607,main,-1.0,0.065077655376607,1.0
ucseq_ucseq_merged_SRR6425991_2,ucseq_ucseq_merged_SRR6425999_2,0.130754398905514,main,-1.0,0.130754398905514,1.0
ucseq_ucseq_merged_SRR6425992_2,ucseq_ucseq_merged_SRR6425999_2,0.1046066187875464,main,-1.0,0.1046066187875464,1.0
ucseq_ucseq_merged_SRR6425993_2,ucseq_ucseq_merged_SRR6425999_2,0.0176475930465205,main,-1.0,0.0176475930465205,1.0
ucseq_ucseq_merged_SRR6425995_2,ucseq_ucseq_merged_SRR6425999_2,0.0977105025679926,main,-1.0,0.0977105025679926,1.0
ucseq_ucseq_merged_SRR6425997_2,ucseq_ucseq_merged_SRR6425999_2,0.1891187147356312,main,-1.0,0.1891187147356312,1.0
ucseq_ucseq_merged_SRR6425998_2,ucseq_ucseq_merged_SRR6425999_2,0.1517088508486365,main,-1.0,0.1517088508486365,1.0
ucseq_ucseq_merged_SRR6425999_2,ucseq_ucseq_merged_SRR6425999_2,0.0,main,-1.0,0.0,
ucseq_ucseq_merged_SRR6426000_2,ucseq_ucseq_merged_SRR6425999_2,0.1893652412993746,main,-1.0,0.1893652412993746,1.0
ucseq_ucseq_merged_SRR6426001_2,ucseq_ucseq_merged_SRR6425999_2,0.1427225518123547,main,-1.0,0.1427225518123547,1.0
ucseq_ucseq_merged_SRR6426002_2,ucseq_ucseq_merged_SRR6425999_2,0.0199004952758243,main,-1.0,0.0199004952758243,1.0
ucseq_ucseq_merged_SRR6426003_2,ucseq_ucseq_merged_SRR6425999_2,0.1733012055212659,main,-1.0,0.1733012055212659,1.0
ucseq_ucseq_merged_SRR6426004_2,ucseq_ucseq_merged_SRR6425999_2,0.0652648986223256,main,-1.0,0.0652648986223256,1.0
ucseq_ucseq_merged_SRR6425989_2,ucseq_ucseq_merged_SRR6426000_2,0.1903078244667239,main,-1.0,0.1903078244667239,1.0
ucseq_ucseq_merged_SRR6425990_2,ucseq_ucseq_merged_SRR6426000_2,0.1855711986409904,main,-1.0,0.1855711986409904,1.0
ucseq_ucseq_merged_SRR6425991_2,ucseq_ucseq_merged_SRR6426000_2,0.194345333580696,main,-1.0,0.194345333580696,1.0
ucseq_ucseq_merged_SRR6425992_2,ucseq_ucseq_merged_SRR6426000_2,0.1876174000110135,main,-1.0,0.1876174000110135,1.0
ucseq_ucseq_merged_SRR6425993_2,ucseq_ucseq_merged_SRR6426000_2,0.1815381071454735,main,-1.0,0.1815381071454735,1.0
ucseq_ucseq_merged_SRR6425995_2,ucseq_ucseq_merged_SRR6426000_2,0.1876571123076779,main,-1.0,0.1876571123076779,1.0
ucseq_ucseq_merged_SRR6425997_2,ucseq_ucseq_merged_SRR6426000_2,0.1335730599958281,main,-1.0,0.1335730599958281,1.0
ucseq_ucseq_merged_SRR6425998_2,ucseq_ucseq_merged_SRR6426000_2,0.1734945494239108,main,-1.0,0.1734945494239108,1.0
ucseq_ucseq_merged_SRR6425999_2,ucseq_ucseq_merged_SRR6426000_2,0.1893652412993746,main,-1.0,0.1893652412993746,1.0
ucseq_ucseq_merged_SRR6426000_2,ucseq_ucseq_merged_SRR6426000_2,0.0,main,-1.0,0.0,
ucseq_ucseq_merged_SRR6426001_2,ucseq_ucseq_merged_SRR6426000_2,0.1784852789509904,main,-1.0,0.1784852789509904,1.0
ucseq_ucseq_merged_SRR6426002_2,ucseq_ucseq_merged_SRR6426000_2,0.1508007729669739,main,-1.0,0.1508007729669739,1.0
ucseq_ucseq_merged_SRR6426003_2,ucseq_ucseq_merged_SRR6426000_2,0.1569457075681942,main,-1.0,0.1569457075681942,1.0
ucseq_ucseq_merged_SRR6426004_2,ucseq_ucseq_merged_SRR6426000_2,0.1863934809435522,main,-1.0,0.1863934809435522,1.0
ucseq_ucseq_merged_SRR6425989_2,ucseq_ucseq_merged_SRR6426001_2,0.1572887189288156,main,-1.0,0.1572887189288156,1.0
ucseq_ucseq_merged_SRR6425990_2,ucseq_ucseq_merged_SRR6426001_2,0.1523040823095186,main,-1.0,0.1523040823095186,1.0
